log_id,log_date,log_name,field,areas,equipment_list,categories,hours,count,depth,notes,raw_notes,raw_quantity
https://rothamstedfarm.farmos.net/log/151,2019-08-08 00:00:00,Topped: Whitehorse 2,WHITEHORSE 2,WHITEHORSE 2,Batwing Topper;NHT7210,Topping;Commercial,,,,Topped commercial field;,"<p>Topped commercial field</p>
",[]
https://rothamstedfarm.farmos.net/log/152,2019-08-15 00:00:00,Topped: Whittlocks,WHITTLOCKS,WHITTLOCKS,ISTH4335;Kilworth Topper,Commercial;Topping,,,,Topped around all willow experiments;,"<p>Topped around all willow experiments</p>
",[]
https://rothamstedfarm.farmos.net/log/153,2019-09-09 00:00:00,Topped: AGDELL HARWOODS,AGDELL/HARWOODS,AGDELL/HARWOODS,MF3070;Topper 9,Commercial;Topping,,,,Topped field edge;,"<p>Topped field edge</p>
",[]
https://rothamstedfarm.farmos.net/log/154,2019-08-05 00:00:00,Topped: Highfield 5+6,HIGHFIELD 5/6,HIGHFIELD 5/6,Batwing Topper;NHT7210,Commercial;Topping,,,,Topped commercial field;,"<p>Topped commercial field</p>
",[]
https://rothamstedfarm.farmos.net/log/155,2019-09-04 00:00:00,Cultivation: Sub Tillage 40 cm in MEADOW,MEADOW,MEADOW,NHT7210;Simba Flat Lift,Subsoiling,0:00:00,,40 cm,Tramlines and headlands;,"<p>Tramlines and headlands</p>
","[{'measure': 'length', 'value': '40', 'unit': {'uri': 'https://rothamstedfarm.farmos.net/taxonomy_term/238', 'id': '238', 'resource': 'taxonomy_term', 'name': 'cm'}, 'label': False}, {'measure': 'time', 'value': '0', 'unit': {'uri': 'https://rothamstedfarm.farmos.net/taxonomy_term/262', 'id': '262', 'resource': 'taxonomy_term', 'name': 'hours'}, 'label': False}]"
https://rothamstedfarm.farmos.net/log/156,2019-09-12 15:04:49,Cultipressed: Meadow,MEADOW,MEADOW,JD6830;Philip Watkins Press,Commercial;Cultipressing,,,,,,[]
https://rothamstedfarm.farmos.net/log/157,2019-09-12 00:00:00,Cultipressed: Parklands,PARKLANDS,PARKLANDS,JD6830;Philip Watkins Press,Commercial;Cultipressing,,,,,,[]
https://rothamstedfarm.farmos.net/log/158,2019-08-13 00:00:00,Ploughed: Furzefield,FURZEFIELD,FURZEFIELD,KV Five Furrow Plough;NHT7210,Commercial;Ploughing,,,,Ploughed commercial field. Thrown North;,"<p>Ploughed commercial field. Thrown North</p>
",[]
https://rothamstedfarm.farmos.net/log/159,2019-09-06 00:00:00,Ploughed: Meadow,MEADOW,MEADOW,KV Five Furrow Plough;NHT7210,Commercial;Ploughing,,,,Ploughed commercial field. Thrown South;,"<p>Ploughed commercial field. Thrown South</p>
",[]
https://rothamstedfarm.farmos.net/log/160,2019-09-11 00:00:00,Ploughed: Meadow,MEADOW,MEADOW,KV Five Furrow Plough;NHT7210,Commercial;Ploughing,,,,Ploughed commercial field. Thrown South;,"<p>Ploughed commercial field. Thrown South</p>
",[]
https://rothamstedfarm.farmos.net/log/161,2019-09-09 00:00:00,Ploughed: Meadow,MEADOW,MEADOW,KV Five Furrow Plough;NHT7210,Commercial;Ploughing,,,,Ploughed commercial field. Thrown South;,"<p>Ploughed commercial field. Thrown South</p>
",[]
https://rothamstedfarm.farmos.net/log/162,2019-09-11 00:00:00,Ploughed: Parklands,PARKLANDS,PARKLANDS,KV Five Furrow Plough;NHT7210,Commercial;Ploughing,,,,Ploughed commercial field. Thrown West;,"<p>Ploughed commercial field. Thrown West</p>
",[]
https://rothamstedfarm.farmos.net/log/163,2019-08-20 00:00:00,Rolled: Great field 1+2,GREAT FIELD 1/2,GREAT FIELD 1/2,6m Flexicoil Cambridge Roll,Commercial;Rolling,,,,Rolled commercial field.;,"<p>Rolled commercial field.</p>
",[]
https://rothamstedfarm.farmos.net/log/164,2019-08-19 00:00:00,Rolled: White horse 2,WHITEHORSE 2,WHITEHORSE 2,6m Flexicoil Cambridge Roll,Commercial;Rolling,,,,Rolled area of field that was drilled on 19/08/19;,"<p>Rolled area of field that was drilled on 19/08/19</p>
",[]
https://rothamstedfarm.farmos.net/log/165,2019-08-20 00:00:00,"Rolled: Long Hoos 5, 6+7",LONG HOOS 5,LONG HOOS 5;LONG HOOS 6/7,6m Flexicoil Cambridge Roll,Commercial;Rolling,,,,Rolled commercial field.;,"<p>Rolled commercial field.</p>
",[]
https://rothamstedfarm.farmos.net/log/166,2019-08-21 00:00:00,Min-till: Drapers,DRAPERS,DRAPERS,JD6930;Lemkin Karat 9KU,Commercial;Minimum-tillage,,,,"Min-till commercial field. Lemkin Karat JD 6930, 45 degrees to trams;","<p>Min-till commercial field. Lemkin Karat JD 6930, 45 degrees to trams</p>
",[]
